TF,TF gene,TF BID,gene,gene BID,regulation
IHF,ihfA,b1712,ompF,b0929,+-
IHF,ihfB,b0912,ompR,b3405,-
IHF,ihfA,b1712,ompR,b3405,-
IHF,ihfB,b0912,osmE,b1739,-
IHF,ihfA,b1712,osmE,b1739,-
IHF,ihfB,b0912,osmY,b4376,-
IHF,ihfA,b1712,osmY,b4376,-
IHF,ihfB,b0912,paaA,b1388,+
IHF,ihfA,b1712,paaA,b1388,+
IHF,ihfB,b0912,paaB,b1389,+
IHF,ihfA,b1712,paaB,b1389,+
IHF,ihfB,b0912,paaC,b1390,+
IHF,ihfA,b1712,paaC,b1390,+
IHF,ihfA,b1712,paaD,b1391,+
IHF,ihfB,b0912,paaD,b1391,+
IHF,ihfA,b1712,paaE,b1392,+
IHF,ihfB,b0912,paaE,b1392,+
IHF,ihfB,b0912,paaF,b1393,+
IHF,ihfA,b1712,paaF,b1393,+
IHF,ihfA,b1712,paaG,b1394,+
IHF,ihfB,b0912,paaG,b1394,+
IHF,ihfB,b0912,paaH,b1395,+
IHF,ihfA,b1712,paaH,b1395,+
IHF,ihfA,b1712,paaI,b1396,+
IHF,ihfB,b0912,paaI,b1396,+
IHF,ihfB,b0912,paaJ,b1397,+
IHF,ihfA,b1712,paaJ,b1397,+
IHF,ihfA,b1712,paaK,b1398,+
IHF,ihfB,b0912,paaK,b1398,+
IHF,ihfA,b1712,paaZ,b1387,+
IHF,ihfB,b0912,paaZ,b1387,+
IHF,ihfB,b0912,pflB,b0903,+
IHF,ihfA,b1712,pflB,b0903,+
IHF,ihfA,b1712,phoU,b3724,+
IHF,ihfB,b0912,phoU,b3724,+
IHF,ihfB,b0912,prfA,b1211,+
IHF,ihfA,b1712,prfA,b1211,+
IHF,ihfB,b0912,prmC,b1212,+
IHF,ihfA,b1712,prmC,b1212,+
IHF,ihfB,b0912,pspA,b1304,+
IHF,ihfA,b1712,pspA,b1304,+
IHF,ihfB,b0912,pspB,b1305,+
IHF,ihfA,b1712,pspB,b1305,+
IHF,ihfB,b0912,pspC,b1306,+
IHF,ihfA,b1712,pspC,b1306,+
IHF,ihfA,b1712,pspD,b1307,+
IHF,ihfB,b0912,pspD,b1307,+
IHF,ihfA,b1712,pspE,b1308,+
IHF,ihfB,b0912,pspE,b1308,+
IHF,ihfB,b0912,pspG,b4050,+
IHF,ihfA,b1712,pspG,b4050,+
IHF,ihfA,b1712,pstA,b3726,+
IHF,ihfB,b0912,pstA,b3726,+
IHF,ihfB,b0912,pstB,b3725,+
IHF,ihfA,b1712,pstB,b3725,+
IHF,ihfB,b0912,pstC,b3727,+
IHF,ihfA,b1712,pstC,b3727,+
IHF,ihfA,b1712,pstS,b3728,+
IHF,ihfB,b0912,pstS,b3728,+
IHF,ihfB,b0912,rpoH,b3461,+
IHF,ihfA,b1712,rpoH,b3461,+
IHF,ihfB,b0912,rtcA,b4475,+
IHF,ihfA,b1712,rtcA,b4475,+
IHF,ihfB,b0912,rtcB,b3421,+
IHF,ihfA,b1712,rtcB,b3421,+
IHF,ihfB,b0912,sgbE,b3583,+
IHF,ihfA,b1712,sgbE,b3583,+
IHF,ihfA,b1712,sgbH,b3581,+
IHF,ihfB,b0912,sgbH,b3581,+
IHF,ihfA,b1712,sgbU,b3582,+
IHF,ihfB,b0912,sgbU,b3582,+
IHF,ihfB,b0912,sodA,b3908,-
IHF,ihfA,b1712,sodA,b3908,-
IHF,ihfB,b0912,sodB,b1656,-
IHF,ihfA,b1712,sodB,b1656,-
IHF,ihfA,b1712,sra,b1480,+
IHF,ihfB,b0912,sra,b1480,+
IHF,ihfB,b0912,ssuA,b0936,+-
IHF,ihfA,b1712,ssuA,b0936,+-
IHF,ihfB,b0912,ssuB,b0933,+-
IHF,ihfA,b1712,ssuB,b0933,+-
IHF,ihfB,b0912,ssuC,b0934,+-
IHF,ihfA,b1712,ssuC,b0934,+-
IHF,ihfB,b0912,ssuD,b0935,+-
IHF,ihfA,b1712,ssuD,b0935,+-
IHF,ihfB,b0912,ssuE,b0937,+-
IHF,ihfA,b1712,ssuE,b0937,+-
IHF,ihfB,b0912,sucA,b0726,-
IHF,ihfA,b1712,sucA,b0726,-
IHF,ihfB,b0912,sucB,b0727,-
IHF,ihfA,b1712,sucB,b0727,-
IHF,ihfB,b0912,sucC,b0728,-
IHF,ihfA,b1712,sucC,b0728,-
IHF,ihfA,b1712,sucD,b0729,-
IHF,ihfB,b0912,sucD,b0729,-
IHF,ihfA,b1712,sufA,b1684,+
IHF,ihfB,b0912,sufA,b1684,+
IHF,ihfB,b0912,sufB,b1683,+
IHF,ihfA,b1712,sufB,b1683,+
IHF,ihfA,b1712,sufC,b1682,+
IHF,ihfB,b0912,sufC,b1682,+
IHF,ihfA,b1712,sufD,b1681,+
IHF,ihfB,b0912,sufD,b1681,+
IHF,ihfA,b1712,sufE,b1679,+
IHF,ihfB,b0912,sufE,b1679,+
IHF,ihfB,b0912,sufS,b1680,+
IHF,ihfA,b1712,sufS,b1680,+
IHF,ihfB,b0912,tdcA,b3118,+
IHF,ihfA,b1712,tdcA,b3118,+
IHF,ihfB,b0912,tdcB,b3117,+
IHF,ihfA,b1712,tdcB,b3117,+
IHF,ihfB,b0912,tdcC,b3116,+
IHF,ihfA,b1712,tdcC,b3116,+
IHF,ihfA,b1712,tdcD,b3115,+
IHF,ihfB,b0912,tdcD,b3115,+
IHF,ihfB,b0912,tdcE,b3114,+
IHF,ihfA,b1712,tdcE,b3114,+
IHF,ihfB,b0912,tdcF,b3113,+
IHF,ihfA,b1712,tdcF,b3113,+
IHF,ihfB,b0912,tdcG,b4471,+
IHF,ihfA,b1712,tdcG,b4471,+
IHF,ihfB,b0912,tyrP,b1907,-
IHF,ihfA,b1712,tyrP,b1907,-
IHF,ihfB,b0912,ubiA,b4040,-
IHF,ihfA,b1712,ubiA,b4040,-
IHF,ihfB,b0912,ubiC,b4039,-
IHF,ihfA,b1712,ubiC,b4039,-
IHF,ihfA,b1712,ulaA,b4193,-
IHF,ihfB,b0912,ulaA,b4193,-
IHF,ihfA,b1712,ulaB,b4194,-
IHF,ihfB,b0912,ulaB,b4194,-
IHF,ihfB,b0912,ulaC,b4195,-
IHF,ihfA,b1712,ulaC,b4195,-
IHF,ihfA,b1712,ulaD,b4196,-
IHF,ihfB,b0912,ulaD,b4196,-
IHF,ihfA,b1712,ulaE,b4197,-
IHF,ihfB,b0912,ulaE,b4197,-
IHF,ihfB,b0912,ulaF,b4198,-
IHF,ihfA,b1712,ulaF,b4198,-
IHF,ihfA,b1712,ulaG,b4192,-
IHF,ihfB,b0912,ulaG,b4192,-
IHF,ihfA,b1712,uspA,b3495,+
IHF,ihfB,b0912,uspA,b3495,+
IHF,ihfA,b1712,uspB,b3494,-
IHF,ihfB,b0912,uspB,b3494,-
IHF,ihfB,b0912,yeiL,b2163,+
IHF,ihfA,b1712,yeiL,b2163,+
IHF,ihfA,b1712,ygjG,b3073,?
IHF,ihfB,b0912,ygjG,b3073,?
IHF,ihfB,b0912,yiaJ,b3574,-
IHF,ihfA,b1712,yiaJ,b3574,-
IHF,ihfB,b0912,yiaK,b3575,+
IHF,ihfA,b1712,yiaK,b3575,+
IHF,ihfB,b0912,yiaL,b3576,+
IHF,ihfA,b1712,yiaL,b3576,+
IHF,ihfB,b0912,yiaM,b3577,+
IHF,ihfA,b1712,yiaM,b3577,+
IHF,ihfB,b0912,yiaN,b3578,+
IHF,ihfA,b1712,yiaN,b3578,+
IHF,ihfB,b0912,yiaO,b3579,+
IHF,ihfA,b1712,yiaO,b3579,+
IHF,ihfA,b1712,yjbE,b4026,+
IHF,ihfB,b0912,yjbE,b4026,+
IHF,ihfB,b0912,yjbF,b4027,+
IHF,ihfA,b1712,yjbF,b4027,+
IHF,ihfA,b1712,yjbG,b4028,+
IHF,ihfB,b0912,yjbG,b4028,+
IHF,ihfA,b1712,yjbH,b4029,+
IHF,ihfB,b0912,yjbH,b4029,+
IHF,ihfB,b0912,yjcH,b4068,-
IHF,ihfA,b1712,yjcH,b4068,-
IclR,iclR,b4018,aceA,b4015,-
IclR,iclR,b4018,aceB,b4014,-
IclR,iclR,b4018,aceK,b4016,-
IclR,iclR,b4018,iclR,b4018,-
IdnR,idnR,b4264,gntK,b3437,-
IdnR,idnR,b4264,gntU,b4476,-
IdnR,idnR,b4264,idnD,b4267,+
IdnR,idnR,b4264,idnK,b4268,+
IdnR,idnR,b4264,idnO,b4266,+
IdnR,idnR,b4264,idnR,b4264,+
IdnR,idnR,b4264,idnT,b4265,+
IlvY,ilvY,b3773,ilvC,b3774,+
IlvY,ilvY,b3773,ilvY,b3773,-
IscR,iscR,b2531,erpA,b0156,-
IscR,iscR,b2531,hyaA,b0972,-
IscR,iscR,b2531,hyaB,b0973,-
IscR,iscR,b2531,hyaC,b0974,-
IscR,iscR,b2531,hyaD,b0975,-
IscR,iscR,b2531,hyaE,b0976,-
IscR,iscR,b2531,hyaF,b0977,-
IscR,iscR,b2531,iscA,b2528,-
IscR,iscR,b2531,iscR,b2531,-
IscR,iscR,b2531,iscS,b2530,-
IscR,iscR,b2531,iscU,b2529,-
IscR,iscR,b2531,napA,b2206,-
IscR,iscR,b2531,napB,b2203,-
IscR,iscR,b2531,napC,b2202,-
IscR,iscR,b2531,napD,b2207,-
IscR,iscR,b2531,napF,b2208,-
IscR,iscR,b2531,napG,b2205,-
IscR,iscR,b2531,napH,b2204,-
IscR,iscR,b2531,nfuA,b3414,-
IscR,iscR,b2531,rnlA,b2630,-
IscR,iscR,b2531,sufA,b1684,+
IscR,iscR,b2531,sufB,b1683,+
IscR,iscR,b2531,sufC,b1682,+
IscR,iscR,b2531,sufD,b1681,+
IscR,iscR,b2531,sufE,b1679,+
IscR,iscR,b2531,sufS,b1680,+
IscR,iscR,b2531,ydiU,b1706,+
KdgR,kdgR,b1827,eda,b1850,-
KdgR,kdgR,b1827,edd,b1851,-
KdpE,kdpE,b0694,kdpA,b0698,+
KdpE,kdpE,b0694,kdpB,b0697,+
KdpE,kdpE,b0694,kdpC,b0696,+
KdpE,kdpE,b0694,kdpF,b4513,+
LacI,lacI,b0345,lacA,b0342,-
LacI,lacI,b0345,lacY,b0343,-
LacI,lacI,b0345,lacZ,b0344,-
LeuO,leuO,b0076,bglB,b3721,+
LeuO,leuO,b0076,bglF,b3722,+
LeuO,leuO,b0076,bglG,b3723,+
LeuO,leuO,b0076,bglJ,b4366,+
LeuO,leuO,b0076,cadC,b4133,-
LeuO,leuO,b0076,cas1,b2755,+
LeuO,leuO,b0076,cas2,b2754,+
LeuO,leuO,b0076,casA,b2760,+
LeuO,leuO,b0076,casB,b2759,+
LeuO,leuO,b0076,casC,b2758,+
LeuO,leuO,b0076,casD,b2757,+
LeuO,leuO,b0076,casE,b2756,+
LeuO,leuO,b0076,dsrA,b1954,-
LeuO,leuO,b0076,leuA,b0074,+
LeuO,leuO,b0076,leuB,b0073,+
LeuO,leuO,b0076,leuC,b0072,+
LeuO,leuO,b0076,leuD,b0071,+
LeuO,leuO,b0076,leuL,b0075,+
LeuO,leuO,b0076,leuO,b0076,+
LeuO,leuO,b0076,yjjQ,b4365,+
LexA,lexA,b4043,cho,b1741,-
LexA,lexA,b4043,ddlB,b0092,-
LexA,lexA,b4043,dinB,b0231,-
LexA,lexA,b4043,dinD,b3645,-
LexA,lexA,b4043,dinF,b4044,-
LexA,lexA,b4043,dinG,b0799,-
LexA,lexA,b4043,dinI,b1061,-
LexA,lexA,b4043,dinJ,b0226,-
LexA,lexA,b4043,dinQ,b4613,-
LexA,lexA,b4043,dnaG,b3066,-
LexA,lexA,b4043,ftsA,b0094,-
LexA,lexA,b4043,ftsI,b0084,-
LexA,lexA,b4043,ftsK,b0890,-
LexA,lexA,b4043,ftsL,b0083,-
LexA,lexA,b4043,ftsQ,b0093,-
LexA,lexA,b4043,ftsW,b0089,-
LexA,lexA,b4043,ftsZ,b0095,-
LexA,lexA,b4043,hokE,b4415,-
LexA,lexA,b4043,insK,b3558,-
LexA,lexA,b4043,lexA,b4043,-
LexA,lexA,b4043,lpxC,b0096,-
LexA,lexA,b4043,mraY,b0087,-
LexA,lexA,b4043,murC,b0091,-
LexA,lexA,b4043,murD,b0088,-
LexA,lexA,b4043,murE,b0085,-
LexA,lexA,b4043,murF,b0086,-
LexA,lexA,b4043,murG,b0090,-
LexA,lexA,b4043,phr,b0708,-
LexA,lexA,b4043,polB,b0060,-
LexA,lexA,b4043,recA,b2699,-
LexA,lexA,b4043,recN,b2616,-
LexA,lexA,b4043,recX,b2698,-
LexA,lexA,b4043,rpoD,b3067,-
LexA,lexA,b4043,rpsU,b3065,-
LexA,lexA,b4043,ruvA,b1861,-
LexA,lexA,b4043,ruvB,b1860,-
LexA,lexA,b4043,sbmC,b2009,-
LexA,lexA,b4043,ssb,b4059,-
LexA,lexA,b4043,sulA,b0958,-
LexA,lexA,b4043,symE,b4347,-
LexA,lexA,b4043,tisB,b4618,-
LexA,lexA,b4043,umuC,b1184,-
LexA,lexA,b4043,umuD,b1183,-
LexA,lexA,b4043,uvrA,b4058,-
LexA,lexA,b4043,uvrB,b0779,-
LexA,lexA,b4043,uvrC,b1913,-
LexA,lexA,b4043,uvrD,b3813,-
LexA,lexA,b4043,uvrY,b1914,-
LexA,lexA,b4043,yafN,b0232,-
LexA,lexA,b4043,yafO,b0233,-
LexA,lexA,b4043,yafP,b0234,-
LexA,lexA,b4043,yafQ,b0225,-
LexA,lexA,b4043,ybfE,b0685,-
LexA,lexA,b4043,ydjM,b1728,-
LexA,lexA,b4043,yebG,b1848,-
LldR,lldR,b3604,lldD,b3605,+-
LldR,lldR,b3604,lldP,b3603,+-
LldR,lldR,b3604,lldR,b3604,+-
LrhA,lrhA,b2289,fimE,b4313,+
LrhA,lrhA,b2289,flhC,b1891,-
LrhA,lrhA,b2289,flhD,b1892,-
LrhA,lrhA,b2289,lrhA,b2289,+
Lrp,lrp,b0889,adhE,b1241,-
Lrp,lrp,b0889,aidB,b4187,-
Lrp,lrp,b0889,alaT,b3853,-
Lrp,lrp,b0889,alaU,b3276,-
Lrp,lrp,b0889,alaV,b0203,-
Lrp,lrp,b0889,argO,b2923,+
Lrp,lrp,b0889,aroA,b0908,+
Lrp,lrp,b0889,avtA,b3572,-
Lrp,lrp,b0889,csiD,b2659,+
Lrp,lrp,b0889,dadA,b1189,+-
Lrp,lrp,b0889,dadX,b1190,+-
Lrp,lrp,b0889,fimA,b4314,+
Lrp,lrp,b0889,fimC,b4316,+
Lrp,lrp,b0889,fimD,b4317,+
Lrp,lrp,b0889,fimE,b4313,+
Lrp,lrp,b0889,fimF,b4318,+
Lrp,lrp,b0889,fimG,b4319,+
Lrp,lrp,b0889,fimH,b4320,+
Lrp,lrp,b0889,fimI,b4315,+
Lrp,lrp,b0889,gabD,b2661,+
Lrp,lrp,b0889,gabP,b2663,+
Lrp,lrp,b0889,gabT,b2662,+
Lrp,lrp,b0889,gcvH,b2904,+
Lrp,lrp,b0889,gcvP,b2903,+
Lrp,lrp,b0889,gcvT,b2905,+
Lrp,lrp,b0889,gltB,b3212,+
Lrp,lrp,b0889,gltD,b3213,+
Lrp,lrp,b0889,gltF,b3214,+
Lrp,lrp,b0889,gltT,b3969,-
Lrp,lrp,b0889,gltU,b3757,-
Lrp,lrp,b0889,gltV,b4008,-
Lrp,lrp,b0889,gltW,b2590,-
Lrp,lrp,b0889,hdeA,b3510,-
Lrp,lrp,b0889,hdeB,b3509,-
Lrp,lrp,b0889,ileT,b3852,-
Lrp,lrp,b0889,ileU,b3277,-
Lrp,lrp,b0889,ileV,b0202,-
Lrp,lrp,b0889,ilvA,b3772,-
Lrp,lrp,b0889,ilvD,b3771,-
Lrp,lrp,b0889,ilvE,b3770,-
Lrp,lrp,b0889,ilvH,b0078,+
Lrp,lrp,b0889,ilvI,b0077,+
Lrp,lrp,b0889,ilvL,b3766,-
Lrp,lrp,b0889,ilvM,b3769,-
Lrp,lrp,b0889,ilvX,b4669,-
Lrp,lrp,b0889,kbl,b3617,+
Lrp,lrp,b0889,lhgO,b2660,+
Lrp,lrp,b0889,livF,b3454,-
Lrp,lrp,b0889,livG,b3455,-
Lrp,lrp,b0889,livH,b3457,-
Lrp,lrp,b0889,livJ,b3460,-
Lrp,lrp,b0889,livK,b3458,-
Lrp,lrp,b0889,livM,b3456,-
Lrp,lrp,b0889,lrp,b0889,-
Lrp,lrp,b0889,lysU,b4129,-
Lrp,lrp,b0889,malT,b3418,+
Lrp,lrp,b0889,micF,b4439,-
Lrp,lrp,b0889,ompC,b2215,-
Lrp,lrp,b0889,ompF,b0929,+
Lrp,lrp,b0889,oppA,b1243,-
Lrp,lrp,b0889,oppB,b1244,-
Lrp,lrp,b0889,oppC,b1245,-
Lrp,lrp,b0889,oppD,b1246,-
Lrp,lrp,b0889,oppF,b1247,-
Lrp,lrp,b0889,osmC,b1482,+-
Lrp,lrp,b0889,osmY,b4376,-
Lrp,lrp,b0889,rrfA,b3855,-
Lrp,lrp,b0889,rrfB,b3971,-
Lrp,lrp,b0889,rrfC,b3759,-
Lrp,lrp,b0889,rrfD,b3274,-
Lrp,lrp,b0889,rrfE,b4010,-
Lrp,lrp,b0889,rrfF,b3272,-
Lrp,lrp,b0889,rrfG,b2588,-
Lrp,lrp,b0889,rrfH,b0205,-
Lrp,lrp,b0889,rrlA,b3854,-
Lrp,lrp,b0889,rrlB,b3970,-
Lrp,lrp,b0889,rrlC,b3758,-
Lrp,lrp,b0889,rrlD,b3275,-
Lrp,lrp,b0889,rrlE,b4009,-
Lrp,lrp,b0889,rrlG,b2589,-
Lrp,lrp,b0889,rrlH,b0204,-
Lrp,lrp,b0889,rrsA,b3851,-
Lrp,lrp,b0889,rrsB,b3968,-
Lrp,lrp,b0889,rrsC,b3756,-
Lrp,lrp,b0889,rrsD,b3278,-
Lrp,lrp,b0889,rrsE,b4007,-
Lrp,lrp,b0889,rrsG,b2591,-
Lrp,lrp,b0889,rrsH,b0201,-
Lrp,lrp,b0889,sdaA,b1814,-
Lrp,lrp,b0889,serA,b2913,+-
Lrp,lrp,b0889,serC,b0907,+
Lrp,lrp,b0889,stpA,b2669,+
Lrp,lrp,b0889,tdh,b3616,+
Lrp,lrp,b0889,thrV,b3273,-
Lrp,lrp,b0889,yeiL,b2163,+
Lrp,lrp,b0889,yhiD,b3508,-
Lrp,lrp,b0889,yojI,b2211,+
LsrR,lsrR,b1512,lsrA,b1513,-
LsrR,lsrR,b1512,lsrB,b1516,-
LsrR,lsrR,b1512,lsrC,b1514,-
LsrR,lsrR,b1512,lsrD,b1515,-
LsrR,lsrR,b1512,lsrF,b1517,-
LsrR,lsrR,b1512,lsrG,b1518,-
LsrR,lsrR,b1512,lsrK,b1511,-
LsrR,lsrR,b1512,lsrR,b1512,-
LsrR,lsrR,b1512,tam,b1519,-
LysR,lysR,b2839,lysA,b2838,+
LysR,lysR,b2839,lysR,b2839,-
MalI,malI,b1620,malI,b1620,-
MalI,malI,b1620,malX,b1621,-
MalI,malI,b1620,malY,b1622,-
MalT,malT,b3418,lamB,b4036,+
MalT,malT,b3418,malE,b4034,+
MalT,malT,b3418,malF,b4033,+
MalT,malT,b3418,malG,b4032,+
MalT,malT,b3418,malK,b4035,+
MalT,malT,b3418,malM,b4037,+
MalT,malT,b3418,malP,b3417,+
MalT,malT,b3418,malQ,b3416,+
MalT,malT,b3418,malS,b3571,+
MalT,malT,b3418,malZ,b0403,+
MarA,marA,b1531,acnA,b1276,+
MarA,marA,b1531,acrA,b0463,+
MarA,marA,b1531,acrB,b0462,+
MarA,marA,b1531,dctR,b3507,-
MarA,marA,b1531,fpr,b3924,+
MarA,marA,b1531,fumC,b1611,+
MarA,marA,b1531,hdeA,b3510,-
MarA,marA,b1531,hdeB,b3509,-
MarA,marA,b1531,inaA,b2237,+
MarA,marA,b1531,marA,b1531,+
MarA,marA,b1531,marB,b1532,+
MarA,marA,b1531,marR,b1530,+
MarA,marA,b1531,micF,b4439,+
MarA,marA,b1531,nfo,b2159,+
MarA,marA,b1531,nfsA,b0851,+
MarA,marA,b1531,nfsB,b0578,+
MarA,marA,b1531,poxB,b0871,+
MarA,marA,b1531,pqiA,b0950,+
MarA,marA,b1531,pqiB,b0951,+
MarA,marA,b1531,purA,b4177,-
MarA,marA,b1531,putA,b1014,+
MarA,marA,b1531,rfaZ,b3624,+
MarA,marA,b1531,rimK,b0852,+
MarA,marA,b1531,rob,b4396,-
MarA,marA,b1531,slp,b3506,-
MarA,marA,b1531,sodA,b3908,+
MarA,marA,b1531,tolC,b3035,+
MarA,marA,b1531,waaY,b3625,+
MarA,marA,b1531,ybaO,b0447,+
MarA,marA,b1531,ybjC,b0850,+
MarA,marA,b1531,ybjN,b0853,+
MarA,marA,b1531,ygiA,b3036,+
MarA,marA,b1531,ygiB,b3037,+
MarA,marA,b1531,ygiC,b3038,+
MarA,marA,b1531,yhiD,b3508,-
MarA,marA,b1531,yncE,b1452,+
MarA,marA,b1531,zwf,b1852,+
MarR,marR,b1530,marA,b1531,-
MarR,marR,b1530,marB,b1532,-
MarR,marR,b1530,marR,b1530,-
McbR,mcbR,b1450,yciE,b1257,+
McbR,mcbR,b1450,yciF,b1258,+
McbR,mcbR,b1450,yciG,b1259,+
MelR,melR,b4118,melA,b4119,+-
MelR,melR,b4118,melB,b4120,+-
MelR,melR,b4118,melR,b4118,+-
MetJ,metJ,b3938,ahpC,b0605,-
MetJ,metJ,b3938,ahpF,b0606,-
MetJ,metJ,b3938,folE,b2153,-
MetJ,metJ,b3938,metA,b4013,-
MetJ,metJ,b3938,metB,b3939,-
MetJ,metJ,b3938,metC,b3008,-
MetJ,metJ,b3938,metE,b3829,-
MetJ,metJ,b3938,metF,b3941,-
MetJ,metJ,b3938,metI,b0198,-
MetJ,metJ,b3938,metK,b2942,-
MetJ,metJ,b3938,metL,b3940,-
MetJ,metJ,b3938,metN,b0199,-
MetJ,metJ,b3938,metQ,b0197,-
MetJ,metJ,b3938,metR,b3828,-
MetJ,metJ,b3938,yeiB,b2152,-
MetR,metR,b3828,glyA,b2551,+
MetR,metR,b3828,hmp,b2552,+
MetR,metR,b3828,metA,b4013,+
MetR,metR,b3828,metE,b3829,+
MetR,metR,b3828,metH,b4019,+
MetR,metR,b3828,metR,b3828,-
MhpR,mhpR,b0346,mhpA,b0347,+
MhpR,mhpR,b0346,mhpB,b0348,+
MhpR,mhpR,b0346,mhpC,b0349,+
MhpR,mhpR,b0346,mhpD,b0350,+
MhpR,mhpR,b0346,mhpE,b0352,+
MhpR,mhpR,b0346,mhpF,b0351,+
MlrA,mlrA,b2127,cadC,b4133,+
MlrA,mlrA,b2127,csgD,b1040,+
MlrA,mlrA,b2127,csgE,b1039,+
MlrA,mlrA,b2127,csgF,b1038,+
MlrA,mlrA,b2127,csgG,b1037,+
MlrA,mlrA,b2127,rplU,b3186,+
MlrA,mlrA,b2127,rpmA,b3185,+
MlrA,mlrA,b2127,yrbA,b3190,+
MngR,mngR,b0730,mngA,b0731,-
MngR,mngR,b0730,mngB,b0732,-
MngR,mngR,b0730,mngR,b0730,-
MntR,mntR,b0817,mntH,b2392,-
ModE,modE,b0761,ccmA,b2201,+
ModE,modE,b0761,ccmB,b2200,+
ModE,modE,b0761,ccmC,b2199,+
ModE,modE,b0761,ccmD,b2198,+
ModE,modE,b0761,ccmE,b2197,+
ModE,modE,b0761,ccmF,b2196,+
ModE,modE,b0761,ccmG,b2195,+
ModE,modE,b0761,ccmH,b2194,+
ModE,modE,b0761,deoA,b4382,-
ModE,modE,b0761,deoB,b4383,-
ModE,modE,b0761,deoC,b4381,-
ModE,modE,b0761,deoD,b4384,-
ModE,modE,b0761,dmsA,b0894,-
ModE,modE,b0761,dmsB,b0895,-
ModE,modE,b0761,dmsC,b0896,-
ModE,modE,b0761,hycA,b2725,+
ModE,modE,b0761,hycB,b2724,+
ModE,modE,b0761,hycC,b2723,+
ModE,modE,b0761,hycD,b2722,+
ModE,modE,b0761,hycE,b2721,+
ModE,modE,b0761,hycF,b2720,+
ModE,modE,b0761,hycG,b2719,+
ModE,modE,b0761,hycH,b2718,+
ModE,modE,b0761,hycI,b2717,+
ModE,modE,b0761,moaA,b0781,+
ModE,modE,b0761,moaB,b0782,+
ModE,modE,b0761,moaC,b0783,+
ModE,modE,b0761,moaD,b0784,+
ModE,modE,b0761,moaE,b0785,+
ModE,modE,b0761,modA,b0763,-
ModE,modE,b0761,modB,b0764,-
ModE,modE,b0761,modC,b0765,-
ModE,modE,b0761,napA,b2206,+
ModE,modE,b0761,napB,b2203,+
ModE,modE,b0761,napC,b2202,+
ModE,modE,b0761,napD,b2207,+
ModE,modE,b0761,napF,b2208,+
ModE,modE,b0761,napG,b2205,+
ModE,modE,b0761,napH,b2204,+
ModE,modE,b0761,narL,b1221,+
ModE,modE,b0761,narX,b1222,+
ModE,modE,b0761,oppA,b1243,-
ModE,modE,b0761,oppB,b1244,-
ModE,modE,b0761,oppC,b1245,-
ModE,modE,b0761,oppD,b1246,-
ModE,modE,b0761,oppF,b1247,-
MprA,mprA,b2684,acrA,b0463,-
MprA,mprA,b2684,acrB,b0462,-
MprA,mprA,b2684,emrA,b2685,-
MprA,mprA,b2684,emrB,b2686,-
MprA,mprA,b2684,mprA,b2684,-
MqsA,mqsR,b3022,cspD,b0880,-
MqsA,mqsA,b3021,cspD,b0880,-
MqsA,mqsR,b3022,mqsA,b3021,-
MqsA,mqsA,b3021,mqsA,b3021,-
MqsA,mqsR,b3022,mqsR,b3022,-
MqsA,mqsA,b3021,mqsR,b3022,-
MtlR,mtlR,b3601,mtlA,b3599,-
MtlR,mtlR,b3601,mtlD,b3600,-
MtlR,mtlR,b3601,mtlR,b3601,-
MurR,murR,b2427,murP,b2429,-
MurR,murR,b2427,murQ,b2428,-
MurR,murR,b2427,murR,b2427,+-
Nac,nac,b1988,asnC,b3743,-
Nac,nac,b1988,codA,b0337,+
Nac,nac,b1988,codB,b0336,+
Nac,nac,b1988,gabD,b2661,+
Nac,nac,b1988,gabP,b2663,+
Nac,nac,b1988,gabT,b2662,+
Nac,nac,b1988,gdhA,b1761,-
Nac,nac,b1988,gltB,b3212,-
Nac,nac,b1988,gltD,b3213,-
Nac,nac,b1988,gltF,b3214,-
Nac,nac,b1988,mioC,b3742,-
Nac,nac,b1988,mnmG,b3741,-
Nac,nac,b1988,nac,b1988,-
Nac,nac,b1988,nupC,b2393,+
Nac,nac,b1988,serA,b2913,-
NadR,nadR,b4390,nadA,b0750,-
NadR,nadR,b4390,nadB,b2574,-
NadR,nadR,b4390,pncB,b0931,-
NadR,nadR,b4390,pnuC,b0751,-
NagC,nagC,b0676,chbA,b1736,-
NagC,nagC,b0676,chbB,b1738,-
NagC,nagC,b0676,chbC,b1737,-
NagC,nagC,b0676,chbF,b1734,-
NagC,nagC,b0676,chbG,b1733,-
NagC,nagC,b0676,chbR,b1735,-
NagC,nagC,b0676,chiP,b0681,-
NagC,nagC,b0676,creA,b4397,-
NagC,nagC,b0676,creB,b4398,-
NagC,nagC,b0676,creC,b4399,-
NagC,nagC,b0676,creD,b4400,-
NagC,nagC,b0676,crr,b2417,-
NagC,nagC,b0676,dinI,b1061,-
NagC,nagC,b0676,feoA,b3408,?
NagC,nagC,b0676,feoB,b3409,?
NagC,nagC,b0676,feoC,b3410,?
NagC,nagC,b0676,fimB,b4312,+
NagC,nagC,b0676,galP,b2943,-
NagC,nagC,b0676,glmS,b3729,+-
NagC,nagC,b0676,glmU,b3730,+-
NagC,nagC,b0676,manX,b1817,-
NagC,nagC,b0676,manY,b1818,-
NagC,nagC,b0676,manZ,b1819,-
NagC,nagC,b0676,nagA,b0677,-
NagC,nagC,b0676,nagB,b0678,-
