REF,GSM820823,GSM820824,GSM820825,GSM820826,GSM820827,GSM820828,GSM820829,GSM820830,GSM820831,GSM820832,GSM820833,GSM820834,GSM820835,GSM820836,GSM820837,GSM820838,GSM820839,GSM820840,GSM820841,GSM820842,GSM820843,GSM820844,GSM820845,GSM820846,GSM820847,GSM820848,GSM820849,GSM820850,GSM820851,GSM820852,GSM820853,GSM820854,GSM820855,GSM820856,GSM820857,GSM820858,GSM820859,GSM820860,GSM820861,GSM820862,GSM820863,GSM820864,GSM820865,GSM820866,GSM820867,GSM820868,GSM820869,GSM820870,GSM820871,GSM820872,GSM820873,GSM820874,GSM820875,GSM820876,GSM820877,GSM820878,GSM820879,GSM820880,GSM820881,GSM820882,GSM820883,GSM820884,GSM820885,GSM820886,GSM820887,GSM820888,GSM820889,GSM820890,GSM820891,GSM820892,GSM820893,GSM820894,GSM820895,GSM820896,GSM820897,GSM820898,GSM820899,GSM820900,GSM820901,GSM820902,GSM820903,GSM820904,GSM820905,GSM820906,GSM820907,GSM820908,GSM820909,GSM820910,GSM820911,GSM820912,GSM820913,GSM820914,GSM820915,GSM820916,GSM820917,GSM820918
b0001,7.172127,8.371,7.325536,8.648016,7.997375,7.288191,6.112451,7.739118,6.428092,7.920879,8.169667,7.854162,6.982907,7.334169,6.576243,8.114947,8.827104,8.752331,7.582453,10.974179,8.974184,9.296375,7.238188,7.449021,7.454936,7.309596,8.004825,6.795037,9.680145,9.366943,8.598987,7.29093,7.337907,7.753184,7.950423,7.902386,8.437525,7.192864,7.213106,7.509091,8.117774,8.758009,8.494935,7.187883,6.242563,8.516978,7.263809,7.968338,7.708032,6.090725,7.397738,5.279092,5.474477,6.606969,6.584943,6.086719,6.016109,6.061652,7.162005,6.392636,5.507744,5.275097,6.317433,5.48831,8.527369,8.588302,8.131324,6.513841,5.792963,9.514746,8.071887,7.752205,8.297498,5.098002,6.528977,9.781219,8.628415,5.359928,5.927609,8.19404,7.60569,8.178316,9.105784,5.58664,7.462608,5.858342,8.323743,5.081489,5.773447,5.694419,6.11239,5.172265,5.639116,6.254111,8.735466,9.202132
b0002,10.661392,11.075333,11.103082,11.841257,9.51856,11.020215,9.570281,10.490489,9.456159,9.332346,11.278186,11.30258,10.172285,8.405933,8.601558,10.210901,10.434431,11.322761,10.312792,11.664919,11.855554,10.534046,10.375352,11.126994,10.508667,8.891711,10.22646,9.603191,11.581346,11.515757,11.661816,9.558181,8.882606,9.950261,10.007114,10.466008,9.856893,11.041177,11.147954,9.213538,10.270231,10.557615,10.282773,9.210762,10.40176,11.032986,8.555576,9.457386,10.742336,7.964508,8.863834,7.736731,9.562994,8.831335,9.369798,8.441724,8.136007,7.760621,8.680253,7.883803,7.389654,9.576505,9.72638,9.545156,9.79953,10.114972,9.297441,8.650808,9.655149,9.89623,9.298217,9.315949,9.245909,10.152079,10.742659,10.888508,10.678378,10.090925,9.933238,9.485013,11.428419,10.995871,10.838736,10.07759,10.279144,9.736849,10.60538,11.041424,11.083063,10.252404,9.24559,10.037195,9.499747,9.997474,10.444215,11.005182
b0003,9.702438,10.025881,9.943846,10.94619,8.631012,10.094704,8.763748,9.349583,8.71027,8.753577,10.435258,10.278619,9.329596,7.951097,7.772326,9.11021,9.55755,10.502693,9.471489,10.943857,10.857704,9.731009,9.754094,10.45833,9.746843,8.541812,9.350415,8.731847,10.811462,10.469516,10.780297,8.909365,8.382526,9.292476,9.12476,9.55008,9.084952,9.83049,10.446621,8.319589,9.224791,9.629399,9.479641,8.400859,9.290057,10.271004,7.885121,8.557821,9.784873,7.792111,8.385235,7.322241,8.283634,8.534018,8.577731,8.238539,7.706399,8.571843,8.69744,8.036757,7.589524,9.03411,9.203229,9.141918,9.025379,9.387259,8.759707,8.665658,9.241573,9.096159,8.808944,8.83963,8.492394,9.082804,9.723449,9.929888,9.767885,9.296391,8.997789,8.811298,10.334909,9.946785,9.979801,8.975615,9.599947,8.85411,9.764661,9.626602,9.901068,9.00633,8.87079,8.680788,8.826023,8.850371,9.746139,10.185434
b0004,10.075595,10.461978,10.229942,11.27762,9.298278,10.693721,9.340702,9.514804,9.244454,9.013479,10.695857,10.548802,9.673324,8.005687,7.836123,9.735632,9.971606,10.796755,9.952132,11.148882,11.308721,10.377291,10.397368,10.736457,10.259941,9.434088,9.884718,9.161768,11.081628,10.852596,11.116498,9.68835,8.668877,9.527398,9.576865,9.853106,9.311098,10.307693,10.817881,8.835654,9.665938,10.011161,9.816529,8.924194,9.827192,10.690262,8.544636,8.923083,10.058827,7.868358,8.513511,7.59921,9.33499,8.383173,9.083567,8.20431,7.696006,8.010105,8.296077,7.800884,9.850326,9.251545,9.551114,9.432488,9.377691,9.777913,9.348551,9.027368,9.51384,9.671432,9.232529,9.347193,9.149794,9.613121,10.243799,10.252848,10.084083,9.753524,9.697336,9.490759,10.946029,10.604504,10.56968,10.335017,10.353567,9.752297,11.174122,10.906624,10.78306,9.229882,9.095339,9.047018,9.189578,9.209476,10.293473,10.604742
b0005,6.71825,7.241007,6.901232,7.92241,7.039704,7.130629,6.918112,7.21632,6.757704,6.872397,7.279115,7.655645,7.437496,7.794298,7.344548,7.446912,7.159247,7.518074,7.263776,7.675371,7.51519,7.205211,7.459372,7.510247,7.563104,6.914797,6.900678,7.099083,8.055115,7.717609,8.09772,6.902297,7.003421,7.083038,7.098881,7.364491,7.193232,7.262426,8.065039,7.101713,6.782612,7.419576,6.810033,7.042795,7.073478,7.048709,6.515676,6.505735,7.086712,7.765969,8.544687,7.45415,6.858457,8.143894,8.363663,8.282757,7.689539,8.026963,8.487108,7.981587,10.090271,7.614255,7.927812,7.899587,7.931491,8.319498,8.080608,8.101831,8.025847,8.083792,8.044639,7.769259,7.768916,7.199622,7.341968,7.653478,7.794718,8.080122,7.983447,8.220639,8.00312,8.241685,8.380283,8.042025,8.571589,7.942853,8.611807,7.623433,7.666564,7.396984,7.762363,7.416947,7.438296,7.171368,7.430273,7.719263
b0006,7.321038,7.199156,7.436749,7.519488,7.475726,7.616859,7.497172,7.403856,7.450497,7.046235,6.744897,7.558733,7.340067,7.734725,7.572846,7.301721,7.210522,7.21963,7.564995,7.593614,7.575133,7.379106,7.572356,7.768056,7.215733,7.215528,7.416052,7.122135,7.381004,6.885329,7.575139,7.56578,7.396422,7.638217,7.497064,7.516435,7.546396,7.181453,6.760549,7.033052,7.485306,7.473968,7.45491,7.215008,7.648053,7.044597,6.945538,6.67132,7.424005,8.557812,8.996791,8.010677,7.248549,8.89414,8.742778,8.231543,7.726006,8.185483,8.670625,8.056443,7.906691,7.800391,7.94122,8.368926,7.331972,7.956865,7.608871,8.334288,8.597808,7.155241,7.402815,7.155248,7.143025,7.708038,7.418126,7.401277,7.424222,8.202978,8.382941,8.227054,7.949931,7.450808,7.932097,8.063689,8.63689,8.150146,7.475469,7.716568,7.993531,8.09752,7.649483,7.457858,7.525623,7.893107,7.598826,7.579174
b0007,5.817987,5.693654,6.205604,5.841341,5.870507,5.873299,5.916784,5.845233,5.85457,5.454671,5.660498,6.411636,6.240367,6.96573,6.513709,6.696354,5.902595,5.921186,5.977013,5.82305,5.740552,6.085539,5.955063,6.22354,6.139462,6.081019,5.890339,5.487629,6.527869,5.963145,7.091142,5.609915,5.847895,6.095303,5.910485,6.206915,5.985514,5.944898,6.313626,5.985769,6.272057,6.374122,6.069842,6.366353,6.103714,5.520107,5.83922,5.755181,5.995903,7.583742,8.180303,7.000484,6.357603,7.886376,8.563491,7.380516,7.590696,7.328143,7.968295,7.136614,6.79364,6.533266,6.620266,7.068358,6.688302,7.601093,6.663848,7.490357,7.321745,5.627167,6.203863,6.117267,6.186114,6.225537,5.943268,5.731081,6.219741,6.537524,6.580962,7.194624,5.718603,5.730928,5.795733,6.435637,7.589556,6.889144,6.372717,6.648426,6.325936,6.654838,6.558604,5.984089,6.313345,6.528852,5.981898,6.149559
b0008,10.982902,10.540638,11.019588,10.696595,11.077699,11.010464,11.181199,11.021091,11.396011,10.729037,10.914293,10.900799,10.570722,9.94554,10.091913,10.901792,10.303731,10.51438,10.723954,11.012735,11.086847,10.955534,11.30124,11.219408,11.160473,11.470028,11.363961,11.192661,11.407318,10.947263,11.44268,11.034319,10.510126,10.8302,10.838932,10.800721,11.030529,10.462312,9.938358,10.251438,10.804905,10.404662,10.720287,10.312762,10.538792,10.900711,10.065797,10.088696,10.736475,10.00284,10.906211,9.793496,11.006383,10.223154,10.994569,9.678953,9.414043,9.661422,10.467002,10.18608,9.765142,10.559345,10.511022,11.065632,10.889468,11.232528,10.945794,10.836141,11.188684,10.103272,10.880855,11.024428,10.94516,10.240304,10.541395,10.182195,10.589108,10.533122,10.629676,10.323652,10.885069,10.522724,10.794101,10.419008,11.058325,10.776575,11.173559,11.300247,11.146561,10.207762,10.268368,10.208607,10.809277,10.204942,9.982823,10.224285
b0009,7.989682,7.758204,7.982186,7.949823,7.747023,7.763313,8.030291,7.751663,7.753363,7.866323,7.657712,8.117479,8.183248,8.610087,8.259973,8.058555,7.721473,7.498096,7.912207,7.579908,7.770978,7.920693,7.740898,7.976525,7.872786,8.162553,7.822729,7.965167,7.893492,7.713486,8.279361,8.09085,8.053934,7.793716,8.383708,8.095172,8.331492,7.850176,8.238737,8.319774,7.461511,7.753181,7.449093,8.064356,7.841458,7.567726,7.693899,7.519658,7.952568,8.523298,8.910446,8.108495,7.552826,8.635232,8.67666,8.528635,8.704305,8.42027,8.981055,8.581589,8.39103,8.238445,7.807628,8.428115,8.438557,8.930275,8.57663,8.441092,8.533235,7.900359,8.282549,8.453905,8.433246,7.83129,7.744047,7.554977,7.795877,8.20253,8.250178,8.566362,8.205308,7.980525,8.236128,8.019762,8.697553,8.055275,8.126222,7.981907,7.966158,8.002427,8.357355,7.719354,8.159483,7.819889,7.884389,7.885036
b0010,6.780839,6.807678,6.806447,7.048933,6.852266,6.771472,6.887372,7.035391,6.947844,7.371218,6.891458,7.368729,7.102382,7.393504,7.308894,7.10001,6.845792,6.708784,7.396091,6.829884,6.899829,6.875477,6.919259,7.164208,7.116031,7.070247,6.885854,6.763881,7.040301,6.7439,7.433299,7.004624,7.050662,7.165401,7.180628,7.108485,7.146135,6.860155,7.016475,6.952108,6.843264,7.108343,6.694904,7.219489,7.19902,6.719009,6.619739,6.63244,7.156838,8.054642,8.556226,7.876219,7.128925,8.247885,8.119497,7.798307,7.796298,8.056956,8.421046,8.085406,7.702025,7.506492,6.926238,7.569628,7.326793,7.989288,7.474249,7.888408,7.71871,6.41415,7.17791,7.204798,7.006296,7.201158,6.724146,6.480135,6.900161,7.503082,7.714795,7.656256,6.861892,6.754802,6.779284,7.658063,7.870807,7.573489,6.909977,7.069541,7.060016,7.351594,7.81006,7.383886,7.329956,7.151296,7.171894,7.066422
b0011,6.958728,6.812072,7.048596,7.437639,7.105583,7.100837,7.221858,7.165346,6.854587,7.497512,7.140387,7.847014,7.45215,8.074787,7.482757,7.241662,7.292468,7.168217,7.642094,7.0398,7.228206,6.874739,7.109493,7.405047,7.582914,7.313719,7.153863,7.418842,7.352469,7.00449,7.685014,7.250751,7.540651,7.253767,7.580621,7.221261,7.435072,7.061229,7.482456,7.322758,7.210028,7.426643,7.172794,7.509717,7.459044,6.953094,6.771563,7.033199,7.537909,8.340036,8.894424,8.102576,7.55433,8.665512,8.864535,8.449279,8.1283,8.90383,8.679256,8.488685,8.130371,7.973618,7.076533,8.116376,7.0448,7.750979,7.110213,8.452618,8.046025,6.845723,7.275529,7.053863,7.09632,7.803262,7.209759,6.465089,7.065659,7.788368,8.168559,7.704652,7.046653,7.084385,7.005036,7.900396,8.208766,8.173233,7.410805,7.503556,7.316982,7.864017,7.926592,7.466574,7.720783,7.573514,7.663856,7.336791
b0012,4.304871,4.051059,4.356033,4.535856,4.340051,4.021116,4.248184,4.489055,4.163346,4.615405,4.619862,5.571749,4.888378,5.687431,5.07249,4.854396,4.700256,4.604172,4.894591,3.985612,4.245518,3.949616,4.646305,4.880721,4.429268,4.450077,4.300205,4.71457,4.692589,4.211052,5.51646,4.211284,4.778843,4.693168,4.692761,4.945064,4.749026,4.188577,4.341604,4.16377,4.767659,5.589729,4.420154,4.663247,4.707692,4.095676,4.222675,4.367174,4.639774,6.856385,7.525783,6.146961,5.503109,6.968826,6.712676,6.960834,6.827417,6.881334,7.789861,6.799744,6.823972,5.631778,4.787077,6.027541,5.233319,5.176777,4.922852,6.42574,6.291524,4.69064,4.809313,4.288167,4.350922,5.080094,4.388884,3.714123,4.86552,5.627212,6.138823,6.340517,3.897803,4.493738,4.19786,5.728276,5.636907,6.37833,5.368985,5.050905,5.215583,5.370139,5.862232,5.295722,4.814855,5.106839,4.776486,5.128836
b0013,6.265961,6.068733,6.188166,6.56198,6.443351,6.234002,6.405945,6.311615,5.796635,6.631221,6.363881,6.948217,6.631917,6.833428,6.502778,6.332005,6.292402,6.356005,6.520691,6.013368,6.236401,5.806278,6.341682,6.648271,6.606213,6.466171,6.062892,6.508299,6.59402,6.194743,6.841161,6.240037,6.487991,6.551139,6.619081,6.226395,6.653958,6.032914,6.429546,6.187775,6.330175,6.660235,6.136361,6.369261,6.75228,6.002826,5.87333,5.854112,6.547946,7.720556,8.185782,7.944039,7.029014,8.05171,8.105611,7.849788,8.43314,7.897707,8.232949,7.708235,7.75869,6.951522,6.58593,7.419592,6.38286,6.813917,6.040208,7.847436,7.367514,6.231223,6.588271,6.115663,6.188094,6.999507,6.252292,5.336459,6.404749,7.099991,7.154454,7.100297,5.862415,6.122577,5.964332,7.041299,7.25518,7.339537,6.694529,6.820294,6.93382,7.000518,7.083669,6.572443,6.794178,6.812642,6.436019,6.330703
b0014,10.280893,9.821316,10.088581,9.303584,10.368202,10.187744,10.501264,11.72761,10.37536,9.293999,10.01474,10.190184,9.846,10.750787,11.068999,11.26968,10.853635,10.428394,10.055234,10.508229,10.717335,10.168269,10.956862,10.961821,10.744007,11.358883,10.117897,10.489185,10.552397,10.265351,10.50266,9.794798,9.481759,10.496784,9.992541,9.733442,9.974458,9.485279,10.463689,9.740648,10.186306,9.287529,10.463668,10.874626,10.600667,10.384005,11.13194,10.243999,10.17297,9.978343,9.841942,10.289336,10.099334,10.746304,10.367191,11.331271,11.335924,10.613496,12.681912,12.622788,12.276586,9.454269,8.979198,9.509763,11.435803,11.394319,10.883923,9.135859,9.940848,11.007993,11.800917,11.673679,11.80389,10.662604,10.643937,10.234437,10.962331,10.469926,10.721979,8.858935,11.277919,11.048211,10.980974,10.231445,11.110457,10.594481,10.193028,11.047779,11.004471,10.282232,11.411562,10.04015,11.823658,10.285613,10.513856,10.390068
b0015,9.179981,8.981174,8.714974,8.53833,8.899953,8.671824,9.149587,10.152773,9.060798,8.349872,8.827531,8.914843,8.901095,9.391572,9.511773,9.687394,9.549816,8.921123,8.848286,9.256534,9.410607,8.889274,9.098275,9.373631,9.326491,9.484324,8.98295,9.189685,9.185093,9.079947,9.226328,9.050043,8.879362,8.909978,9.121769,8.797439,8.91006,8.639911,8.721542,8.680095,8.990718,8.564516,9.166742,9.343018,9.015656,8.856551,9.418096,8.993505,8.999596,8.828347,9.271543,8.751069,8.755777,9.179432,9.127484,9.4315,9.494032,9.085158,10.391066,10.293876,9.653546,9.05846,8.381065,8.812977,10.604363,10.447861,9.992205,8.848409,9.080556,9.616871,10.526529,10.627348,10.56396,8.892522,9.081789,8.882346,9.471558,9.25573,9.259898,8.436544,10.031665,9.980115,10.08113,9.326682,10.247033,9.46883,9.359091,9.344167,9.263451,9.048207,9.566327,8.269754,9.999356,9.152486,8.954442,8.959314
b0016,7.904807,7.961675,7.605804,8.235394,7.788296,7.924761,7.733336,8.627975,7.762245,7.216528,7.829937,7.721949,7.755757,7.91012,7.954894,8.143935,8.647062,8.529055,8.286831,8.248562,7.969041,7.704527,7.720496,7.771527,7.581199,7.709054,7.838939,7.549559,7.769998,7.570099,7.482396,7.383605,7.597883,7.78129,8.188697,7.722569,8.232162,7.753327,7.547496,7.45386,7.902479,7.458179,8.076873,8.035877,7.889081,8.109206,8.095353,8.111579,8.02438,8.62742,7.977422,8.402798,8.682971,8.549203,8.728263,8.067688,8.043719,7.418032,8.226241,8.642112,7.815262,7.17766,7.208398,6.914023,8.905265,9.215986,8.674645,7.205958,8.209288,8.482473,8.911889,8.845166,8.961939,7.613682,7.554405,8.283459,7.699001,7.406416,7.533147,8.740354,7.959119,8.029488,8.108067,7.289507,7.535329,6.730554,7.569146,8.086188,7.513885,7.708472,7.964267,7.445663,8.117903,7.822768,7.748879,7.9944
b0017,6.220147,6.264024,5.982516,6.538699,6.287772,6.182445,5.991796,6.418747,6.839916,6.263042,6.304597,6.518178,6.372576,6.57225,6.052492,6.714783,7.018815,6.557609,6.407816,6.515362,6.316533,6.641124,6.487447,6.478612,6.378507,6.217135,6.464366,6.023778,6.73481,6.146909,6.310227,6.208989,6.720188,6.060709,6.585035,7.036271,6.777639,6.524702,6.750195,6.067737,6.335369,6.33563,6.564797,6.508162,6.074284,6.514291,6.035411,6.422979,6.491336,6.789512,6.892175,6.608355,7.768344,6.993435,6.513225,6.397972,6.241809,6.50825,6.391965,6.581151,6.246728,6.110418,6.322199,5.810947,7.143239,7.282266,6.597469,6.010468,6.041756,6.611125,7.186633,6.766619,6.834986,5.965169,5.963018,6.920607,6.746822,6.222549,5.335072,7.279373,6.186304,6.471059,6.468919,5.94126,5.968104,5.408957,6.83212,6.735615,5.78997,5.780683,6.086129,6.05657,5.995123,6.01777,6.24959,6.439943
b0018,6.198425,6.251116,6.453572,6.019621,6.22517,5.826634,6.120729,5.957261,5.563032,6.641254,6.435211,6.888771,6.865209,7.999644,7.11738,6.559282,5.909157,6.095885,5.956567,5.879516,5.916812,6.330231,6.564953,6.519784,6.666413,6.919787,6.043368,6.335758,6.800458,6.381221,7.23878,6.250799,6.526018,6.181302,6.435706,6.246325,6.385023,6.31061,7.059299,6.850597,5.995551,6.570758,5.906066,6.680191,6.592959,5.677409,6.505687,6.356374,6.263455,7.686791,8.444319,7.742183,6.61552,7.851779,7.797165,8.081173,7.998478,7.967006,8.292496,7.869788,8.168776,7.311317,7.079854,7.495182,7.425509,6.867388,6.711436,8.027373,7.571026,6.091952,6.674151,6.775455,6.871325,6.769825,5.991811,5.366556,6.476136,7.025377,7.683762,7.067791,5.966308,6.273338,6.188545,7.34526,7.786677,7.842145,6.651658,6.022608,6.892028,7.032161,6.923207,6.846169,7.000421,6.868007,6.423194,6.123635
b0019,7.483788,7.542719,7.307881,7.544399,7.299863,7.55922,7.790751,7.567894,7.220742,7.983212,7.794743,7.972147,7.405892,8.687551,9.069905,8.258494,7.384045,8.075049,7.726628,7.927147,7.592657,7.810912,7.677959,7.700654,7.986166,8.273252,7.69318,7.763816,7.946002,7.843902,8.123355,7.565575,7.748793,7.948484,7.993312,7.47376,8.007042,7.517557,8.12516,7.517925,7.540989,7.720376,7.741099,8.415348,8.219101,7.61589,8.42797,8.312905,7.75864,8.215591,8.690897,8.355617,7.95846,8.250648,8.401569,8.779141,9.395513,8.821097,9.661,9.395119,9.057129,8.240183,8.346584,8.339649,8.597157,7.754416,7.810013,8.549699,8.50071,7.486623,7.921512,8.048659,7.975519,7.882459,8.395826,7.893414,8.494168,8.314154,8.344086,8.111925,8.009517,7.706919,7.908356,8.29955,8.622426,8.437763,8.064206,7.855653,8.300886,8.252144,8.323583,8.472136,8.391361,8.357043,7.985751,7.812629
b0020,6.225449,6.60637,6.23779,6.328897,6.210001,6.337623,6.35179,6.302283,6.030177,6.590811,6.488491,6.751135,6.624553,7.819815,7.848627,7.266683,6.489504,7.00191,6.565806,6.625276,6.451052,6.542493,6.839273,6.771584,6.600566,6.515295,6.298543,6.383426,6.790679,6.580564,7.117793,6.459097,6.730871,6.611159,6.724733,6.568199,6.96143,6.223714,6.843058,6.183164,6.623231,6.684497,6.670498,6.687465,6.963267,6.649713,6.605403,6.648133,6.768675,7.839855,8.145058,8.106471,7.388135,7.990318,8.151451,7.958019,7.931724,7.468871,8.697259,8.032898,8.138362,7.546024,7.360907,7.692096,7.680707,6.926561,7.010278,7.852526,8.050348,6.769239,6.925787,7.069053,6.902629,7.326195,7.018843,6.878305,7.517413,7.470023,7.779157,7.28356,6.847475,6.81748,6.869998,7.541758,7.86056,7.7391,6.998768,7.456333,7.574139,7.444591,7.449702,7.53644,7.671982,7.453292,7.031674,6.906925
b0022,7.586,6.826684,8.260812,6.653421,6.431514,6.426823,6.562367,6.794765,6.037046,7.702243,7.113322,6.188607,6.679613,6.872812,6.800469,6.947597,6.393661,7.264058,6.735727,7.309392,6.694164,6.498412,6.012127,6.708364,6.466332,6.962339,6.461112,5.707295,7.732418,7.887228,7.557799,7.432495,6.65636,6.960209,7.795265,7.247958,7.717716,5.498514,7.1805,7.222831,6.719613,6.521903,6.432458,6.731004,6.077653,6.395517,7.600129,7.090155,6.196621,6.117271,4.872179,5.712482,7.124641,6.046639,5.616119,4.514114,5.474061,4.934858,4.443807,5.824318,5.264068,5.676022,7.346536,5.898762,8.104032,7.828526,8.131324,5.432073,5.031357,8.608174,8.053246,8.268445,8.24721,6.229586,7.226087,7.156446,7.221882,6.832143,4.947612,7.422762,7.546029,7.375678,7.875334,5.649507,6.709085,4.980714,8.060103,7.289898,6.703877,4.391462,6.301031,5.315936,6.393103,5.313174,7.137281,6.487292
b0023,8.856097,9.95332,8.370875,10.052653,8.707736,9.163193,8.034498,9.455998,8.4207,11.126162,9.750216,9.340898,8.748426,8.625825,8.757124,9.128248,9.894093,11.0434,10.622359,10.634046,9.711403,9.05921,9.443161,10.262833,8.902431,8.112077,8.260911,7.195331,9.174645,8.962341,8.926873,9.547175,7.825301,10.901073,9.690297,8.968127,9.621595,8.134282,8.524563,8.117521,8.556353,8.972263,8.70086,8.004926,8.488794,9.315079,8.178544,8.414955,8.722037,7.162978,8.307089,7.733399,8.410407,7.41602,8.017064,7.502341,7.6094,7.352061,8.117731,8.015214,8.027651,8.975254,10.183192,9.350104,10.057179,9.535482,9.594403,8.703174,8.953339,10.388556,9.668784,9.808602,9.823986,7.949981,9.625248,10.067233,9.614431,9.129987,8.132628,11.238835,10.416103,9.511324,10.821706,8.495038,9.755603,8.300335,10.263411,10.101721,10.222955,7.730664,7.974091,7.507834,7.830617,8.877012,11.272609,11.083527
b0024,5.561673,5.693595,5.62193,5.409116,5.433908,5.235711,5.506359,5.213257,5.372177,5.550538,5.361428,6.055396,5.70166,6.310411,5.734217,5.429633,5.290882,5.679969,5.529641,5.368973,5.543591,5.198659,5.833656,5.979855,5.891759,5.833606,5.593955,5.630394,5.452699,5.351078,6.258617,5.607851,5.942105,5.417479,5.576314,5.516686,5.732418,5.526892,5.529829,5.529568,6.149166,6.007614,5.261179,5.75699,5.820062,5.190697,5.574471,5.755967,5.493496,7.097911,7.436386,6.955297,5.735135,6.79608,7.163251,7.553141,8.035928,7.08771,7.568924,7.232309,7.571516,6.549559,6.147082,6.377415,6.426395,5.753256,5.638151,7.099629,6.764867,5.135046,5.76269,5.369101,5.345635,5.841171,5.0822,4.871063,5.739899,6.204958,6.719212,6.449688,5.44677,5.758719,5.271515,6.406203,7.874769,6.9454,6.063774,5.405703,6.265517,5.948468,6.191645,5.786252,5.836299,6.213412,5.668018,5.908705
b0025,9.075547,8.97879,8.787647,8.583906,8.540427,8.176211,8.453666,8.674114,8.44097,9.009439,8.826885,8.439542,8.340885,8.482301,8.495718,8.566694,8.568749,8.993274,8.543146,9.309414,9.016556,8.67794,8.409364,8.614386,8.297568,8.869613,9.102928,8.456223,8.657737,8.419125,8.754387,9.100537,8.621145,8.88252,8.69796,8.245732,8.694734,8.517057,8.295951,8.693252,8.656208,8.488189,8.704806,8.811485,9.363207,8.891199,8.856862,9.161342,8.8738,8.506356,8.299876,8.542273,8.291475,8.51751,8.661496,8.621204,8.879229,8.611318,8.725661,8.925026,8.720733,8.745012,8.653677,8.690289,8.766175,8.715295,8.194828,8.818496,8.64472,9.022038,8.416052,8.744693,8.563215,8.392276,8.334333,9.174403,8.806342,8.493545,8.931864,8.560003,9.042469,8.669455,9.07734,8.624914,9.252278,8.862751,8.332051,8.333495,8.650914,8.553994,8.708352,8.668919,8.646835,9.0587,9.173693,9.213559
b0026,9.758642,10.020111,9.963289,9.813712,9.522591,9.587604,9.492084,9.392896,10.091861,9.945823,9.963687,9.753861,9.629182,8.950051,9.35412,9.481883,9.377965,9.709101,9.379724,9.783084,9.810085,9.536631,9.739096,9.992302,9.711522,9.57218,9.967246,9.99224,9.68887,9.452173,9.849123,9.976462,10.008331,9.380465,9.759096,9.826266,9.665808,10.003264,9.714289,9.635182,9.320071,9.382054,9.502887,9.741842,10.042325,9.63131,9.541505,9.770221,9.513178,8.288994,8.897842,8.76141,9.622223,8.475541,9.521754,8.695955,8.673221,8.476656,9.094817,9.0005,8.963682,9.253808,9.850248,9.415813,9.618117,9.593507,9.024197,9.385024,9.234278,9.2475,9.316333,9.258166,9.292411,9.300534,9.436006,9.333414,9.794122,9.437135,9.453918,9.048566,10.162426,9.739595,9.939162,9.514487,9.685977,9.722151,9.628997,9.644701,9.601333,9.249893,9.684088,9.283145,9.464586,9.258478,9.665296,9.776116
b0027,9.438301,9.501282,9.506065,9.410485,9.276003,9.25066,9.237201,9.253198,9.711048,9.627075,9.642756,9.192506,9.263224,8.578089,8.655981,8.901706,9.128678,9.896593,9.554646,9.510322,9.363903,8.911584,8.923727,9.750151,9.037987,9.086747,9.514947,9.211282,9.267329,9.205452,9.606419,9.702342,9.447931,9.497866,9.706404,9.55247,9.573363,9.235309,9.332831,9.09547,9.31718,9.371651,9.29532,9.131978,9.557713,9.301411,9.068222,9.49997,9.167288,8.816926,8.767541,8.842895,8.45973,8.510435,9.096162,9.047467,9.188792,8.587099,8.717083,9.017013,8.798143,9.012367,9.144419,9.455479,9.353177,9.023803,8.569913,9.152624,9.275884,9.369545,8.823232,8.669404,8.97497,8.822304,9.202081,9.085927,9.234203,8.9015,9.11038,8.986714,10.037916,9.71733,9.845741,8.920381,8.98834,8.809082,9.204732,9.135933,9.282947,9.210449,8.907208,8.878752,9.132289,9.332097,9.459931,9.505303
b0028,8.413383,8.705246,8.442291,8.427079,8.26185,8.309175,8.252075,8.283474,8.541691,8.658401,8.560378,8.198481,8.260352,8.026184,7.934464,8.148864,8.141719,8.983974,8.808087,8.672442,8.605737,8.195556,8.151025,8.796635,8.319979,8.090197,8.766095,8.356767,8.406265,8.248711,8.72766,8.845036,8.679767,8.874578,8.771904,8.715893,8.679767,8.276473,8.498318,8.150202,8.235558,8.395547,8.335879,8.258749,8.666598,8.293564,8.139596,8.55669,8.302046,7.653284,7.599978,7.553289,7.469122,7.342682,8.104766,8.269181,7.924009,7.629017,7.878023,7.999216,8.082508,8.157858,8.410124,8.407077,8.449081,8.188408,7.989957,8.312694,8.475984,8.294725,8.212295,8.051079,8.384233,7.887233,8.052926,7.956516,8.11861,8.318202,8.249678,8.359374,9.121917,8.571812,8.974294,8.268888,8.539969,8.219992,8.472475,8.480893,8.58773,8.044577,8.367015,8.021215,8.44804,8.485285,8.346255,8.441103
