REF,GSM820823,GSM820824,GSM820825,GSM820826,GSM820827,GSM820828,GSM820829,GSM820830,GSM820831,GSM820832,GSM820833,GSM820834,GSM820835,GSM820836,GSM820837,GSM820838,GSM820839,GSM820840,GSM820841,GSM820842,GSM820843,GSM820844,GSM820845,GSM820846,GSM820847,GSM820848,GSM820849,GSM820850,GSM820851,GSM820852,GSM820853,GSM820854,GSM820855,GSM820856,GSM820857,GSM820858,GSM820859,GSM820860,GSM820861,GSM820862,GSM820863,GSM820864,GSM820865,GSM820866,GSM820867,GSM820868,GSM820869,GSM820870,GSM820871,GSM820872,GSM820873,GSM820874,GSM820875,GSM820876,GSM820877,GSM820878,GSM820879,GSM820880,GSM820881,GSM820882,GSM820883,GSM820884,GSM820885,GSM820886,GSM820887,GSM820888,GSM820889,GSM820890,GSM820891,GSM820892,GSM820893,GSM820894,GSM820895,GSM820896,GSM820897,GSM820898,GSM820899,GSM820900,GSM820901,GSM820902,GSM820903,GSM820904,GSM820905,GSM820906,GSM820907,GSM820908,GSM820909,GSM820910,GSM820911,GSM820912,GSM820913,GSM820914,GSM820915,GSM820916,GSM820917,GSM820918
b2534,6.064075,5.97124,6.068333,6.196918,6.297209,6.19277,6.013946,5.908349,6.038363,6.283726,5.974742,6.219367,6.465477,6.201969,6.213371,6.174408,5.966497,5.972606,6.043531,5.893847,6.050157,5.783186,6.298692,6.186765,6.528726,6.135199,6.059682,6.130689,6.031966,6.213273,6.308257,5.934244,6.369137,6.260275,5.869561,6.018553,5.712999,6.514707,5.871427,6.056284,6.008379,6.55988,5.957055,5.916885,6.17434,5.826411,5.693045,6.128386,6.138697,6.78698,5.553457,6.379184,6.104711,5.871066,6.086004,6.579112,6.222248,6.501861,5.608553,6.16029,6.515577,6.660833,6.292845,6.342556,6.029552,5.933207,5.874701,6.640166,6.364021,5.360282,6.05693,5.947324,6.070583,6.527599,6.0391,5.829216,5.666806,6.342011,6.844741,6.301901,6.01008,6.028433,5.898577,6.527438,6.216635,6.734971,5.991784,6.42851,6.159908,6.384636,6.247726,6.810721,6.391472,6.169989,6.131719,6.27836
b2535,6.440123,5.981184,6.343686,5.683448,6.075053,5.863602,6.578723,5.887279,5.763817,5.871211,5.698364,5.936643,6.546766,6.655768,6.351136,6.078048,6.054709,5.84332,5.703161,5.883217,6.274813,6.295068,6.318946,6.206148,5.861062,7.647273,6.807588,7.45592,5.691211,5.909141,5.989514,6.041061,6.193044,6.044108,6.373437,6.023727,5.857955,6.292132,7.590618,6.336889,6.27178,6.061481,6.308982,8.013072,6.949893,6.224382,8.271499,7.264398,6.347309,5.263936,3.646249,5.380756,5.563057,4.621441,5.418132,7.332969,8.454506,7.412792,6.299666,6.902014,6.706532,5.91859,5.816714,5.573789,5.826354,5.618352,5.364668,5.334513,5.612775,5.054606,5.557651,5.744327,5.735676,6.091203,5.99327,5.84689,5.935417,5.821728,5.816001,5.779162,5.798351,5.883593,5.728408,6.053817,5.605979,6.167561,5.734789,5.69183,5.749845,6.395207,6.160513,5.97716,6.430262,6.196123,5.837731,5.957522
b2536,7.383686,7.375356,7.328726,7.247614,7.225162,7.361156,6.916367,7.142734,7.264671,7.631559,7.252747,7.174868,7.406342,7.289422,7.408525,7.321,6.966745,7.263181,7.309062,7.082382,7.088997,7.123857,7.128863,7.115162,7.235826,7.214281,7.333016,7.425793,6.987341,7.272573,7.374971,7.246397,7.511407,7.424939,7.251373,7.270335,6.793973,7.4982,7.059871,7.280005,7.188595,7.313838,7.131497,7.201792,7.113515,7.309556,7.120673,7.310573,7.260804,7.212986,5.590331,6.699947,7.087177,6.640611,6.702418,6.68969,7.178192,7.046512,5.582224,6.760779,7.368295,7.115245,7.256816,7.118883,7.071255,7.091081,7.011084,7.15093,7.191493,6.613008,6.957912,7.24603,7.199057,7.48981,7.119895,7.127647,6.977953,7.097179,7.00089,6.752145,7.208591,7.080593,7.175449,7.311244,7.167098,7.417402,6.997595,7.098968,7.060362,6.794317,7.37091,7.261171,7.269989,6.943045,7.168256,7.323368
b2537,7.570576,7.624735,7.077493,6.9826,7.491305,7.115478,7.105833,6.942733,7.461147,7.030937,6.899039,7.122377,7.763253,7.511267,7.234995,7.101647,7.168185,7.094254,6.94411,7.74208,7.86,7.761997,7.399641,7.331279,7.237173,6.826572,7.148585,7.234554,6.629794,6.916385,7.049208,6.983159,7.148239,7.445211,7.668811,7.738706,7.62822,7.970216,6.865326,6.799357,7.113442,6.894964,6.944,6.930938,7.409051,8.057385,7.059961,7.532849,7.744255,6.666546,5.24209,6.303315,6.369476,6.423839,6.241081,6.545932,6.73798,6.617106,5.78728,6.87359,6.819305,7.393134,6.932601,7.470606,7.160947,7.226564,7.046348,7.130719,6.944604,6.232283,6.938287,7.309775,7.291002,7.195331,6.753276,6.809848,6.808905,7.195608,6.983335,5.770045,7.388794,7.618656,7.497738,6.912181,6.935546,7.232222,6.893278,6.654901,7.139718,7.306298,7.124125,7.622158,7.111262,7.545504,7.001479,7.108972
b2538,6.547094,6.600134,6.510229,6.344918,6.381389,6.341986,6.364933,6.378838,6.08598,6.478309,6.145675,6.256205,6.457704,6.307196,6.214459,6.03955,6.061795,6.369975,6.165691,6.232326,6.355105,5.806815,6.153468,6.12528,6.318218,6.104948,6.19485,6.166343,6.05034,6.009072,6.281331,6.227895,6.187743,6.436804,6.643947,6.390238,6.401201,6.47403,5.686401,5.897017,6.539823,6.158509,6.521717,5.769548,6.433462,6.409222,6.244524,6.657348,6.448949,6.022371,4.31805,5.589464,6.042934,5.665715,6.076237,5.884235,5.834342,5.487963,4.97502,5.910722,6.161371,6.376353,6.317765,6.35023,6.364,6.483195,6.330924,6.297656,6.857765,6.029282,6.295828,6.634068,6.550014,6.522976,6.118615,5.985676,5.904414,6.463562,6.339759,5.252665,6.039583,6.615644,6.617804,6.228456,6.327906,6.360323,6.323113,6.178659,6.637773,6.46602,6.505165,6.540647,6.591604,6.647768,6.221642,6.254896
b2539,7.071096,7.291773,7.046861,7.172344,7.244481,7.093934,7.284588,7.099153,7.059799,7.298386,7.10032,7.441475,7.170378,7.260427,7.164596,7.277807,7.319542,7.095807,7.070306,7.033475,7.204028,7.160944,7.061365,7.314135,7.394958,7.114538,7.261592,7.320748,7.328353,7.323589,6.933379,7.188032,7.392259,7.285051,7.554278,7.498151,7.414207,7.240554,7.077052,7.275534,7.385273,7.420309,7.446664,6.996642,6.881044,7.023849,7.089274,7.083524,7.163599,7.067471,7.125027,7.281808,7.329802,7.950757,7.459761,7.093778,6.826602,7.141386,7.619277,7.070527,6.711612,7.59923,7.37421,7.950475,7.728534,7.678235,7.674805,8.002334,7.806852,6.46365,7.644105,7.316152,7.428208,7.317021,7.092417,6.802584,6.967041,7.851098,7.894604,7.220533,7.097645,7.247758,7.246962,7.367343,7.817585,7.810379,7.266952,7.360812,7.285726,7.731621,7.710495,7.234263,7.291433,7.376845,7.239764,7.273322
b2540,7.651315,7.496088,7.2746,7.534233,7.603735,7.478016,7.654779,7.488956,7.556873,7.627992,7.612208,7.934135,7.741284,8.004163,7.705617,7.603862,7.516182,7.259903,7.539049,7.390374,7.52781,7.720224,7.586412,7.661837,7.887963,7.538873,7.71126,7.79012,7.399808,7.553324,7.157107,7.655122,7.827901,7.381643,7.776229,7.854652,7.556251,7.520248,7.493017,7.616298,7.451823,7.675601,7.561793,7.610219,7.050021,7.518552,7.478503,7.546094,7.638589,7.258288,7.389445,7.354061,7.761491,7.995467,7.910182,7.545665,6.873028,7.970407,8.358427,7.687238,6.080574,8.026747,8.069426,7.976835,7.98496,8.272022,8.199676,8.382723,7.87963,6.786955,8.056354,7.74306,7.920181,7.945054,7.36198,7.392372,7.415191,8.157431,7.81344,7.709969,7.394319,7.517054,7.478975,7.6115,8.180425,8.10273,7.717736,7.430163,7.655032,7.871939,8.022233,7.725556,7.589659,7.450493,7.452651,7.562388
b2541,6.97388,6.906702,6.762411,6.996068,6.96155,6.972267,7.144205,6.945786,6.981016,6.972049,6.900068,7.109509,6.947811,7.322191,6.913854,6.633203,6.955278,6.774381,6.914541,6.682888,6.899466,6.95911,6.947567,7.0726,6.925857,6.954242,7.007742,7.147505,6.812414,6.88949,6.671029,7.020911,7.196996,6.865262,7.062322,7.094322,6.936584,7.082485,6.902028,6.803959,6.87472,7.085649,7.090905,6.995231,6.748438,6.819751,6.92284,6.793063,6.735756,7.087405,7.329188,6.736536,7.105039,7.529808,7.242555,7.205988,6.894596,7.015337,7.448111,7.216991,5.715573,7.392977,7.061403,7.313987,7.054935,7.083777,7.275861,7.085606,7.429361,6.199092,6.864941,6.965696,6.875447,6.922032,6.768913,6.671501,6.660066,7.391112,7.369236,6.863596,6.995251,6.959575,6.841232,7.139678,7.413249,6.604847,6.956189,6.884122,7.253896,7.203643,7.129285,6.769708,6.90942,6.918346,6.775716,6.904399
b2542,7.291508,7.08398,7.003505,7.095638,7.406378,7.196298,7.547161,7.08905,7.049702,7.130983,7.278774,7.256502,7.125172,7.183145,7.137238,6.945166,7.113502,6.68873,6.953868,7.134512,7.260455,7.066902,6.782217,7.020355,6.996685,7.293633,7.388276,7.371281,7.044543,7.024505,6.906944,7.235794,7.31117,6.938488,7.270543,7.087587,7.309526,7.28978,7.240082,7.311177,7.163127,7.002778,7.23473,7.245477,6.97659,7.089026,7.189611,6.973852,7.000387,7.794208,7.211812,7.754671,7.774839,8.169652,7.926807,6.971762,6.757771,7.28163,7.657832,7.226135,5.995745,7.388166,7.065796,7.180762,7.357583,7.474517,7.599952,7.2962,7.508655,6.625437,7.239927,7.17768,7.265754,7.117988,6.947447,6.733945,6.867376,7.357549,7.47728,7.156526,7.281826,7.156983,7.203039,7.064183,7.476622,7.097679,7.275936,7.61385,7.197228,7.615999,7.440991,7.583013,7.305457,7.225474,7.013201,6.90684
b2543,6.165959,5.940339,5.903726,5.77204,6.173394,6.169506,7.821922,6.602833,6.824978,5.991328,6.640282,6.759973,6.356172,6.522869,6.601811,6.2713,6.445318,6.601436,6.319666,6.607542,6.695133,6.857334,5.846672,6.023073,5.881217,7.326524,7.176264,7.190129,6.103257,6.380832,6.039028,6.55814,6.478736,6.75603,7.513648,6.648881,7.469451,6.450086,7.501747,6.732814,7.88022,6.126831,7.537614,7.90901,6.779312,7.227931,8.159858,7.549864,6.920628,6.998219,7.15789,6.575304,6.781229,7.335162,7.140756,8.259425,8.317822,8.016184,8.711546,7.753184,7.534177,6.663772,6.307222,6.532092,6.360903,6.412748,6.373804,6.531545,6.457388,5.767343,5.506028,5.4302,6.045045,6.373939,6.375946,6.391623,6.321833,6.395603,6.87165,6.199887,6.225429,6.061766,6.273548,6.282788,6.442441,6.543034,6.052689,6.419357,6.764138,8.29811,6.633521,7.592552,6.415425,8.358001,5.992151,6.084498
